name,brand,model,generation,version,purchasePrice,fuelType,consumption,annualMileage,insuranceCost,maintenanceCost,resaleValue
Volkswagen Golf VII 1.6 TDI (2013),Volkswagen,Golf,,VII 1.6 TDI (2013),9500,DIESEL,3.8,15000,610,520,5900
Volkswagen Polo V 1.2 TDI (2011),Volkswagen,Polo,,V 1.2 TDI (2011),5100,DIESEL,3.8,12000,460,440,2700
Ford Fiesta III 1.3 (1991),Ford,Fiesta,,III 1.3 (1991),1000,PETROL,6.7,8000,310,370,150
Ford Fiesta V 1.4 TDCI (2003),Ford,Fiesta,,V 1.4 TDCI (2003),2200,DIESEL,4.4,13000,410,430,700
Ford Focus II 1.6 TDCi (2005),Ford,Focus,,II 1.6 TDCi (2005),2900,DIESEL,4.8,15000,490,490,1100
Ford Fiesta VI 1.4 TDCi (2011),Ford,Fiesta,,VI 1.4 TDCi (2011),4600,DIESEL,4.1,12000,450,440,2200
Opel Corsa B 1.2 (1993),Opel,Corsa,,B 1.2 (1993),1100,PETROL,6.4,8000,320,360,250
Opel Corsa C 1.2 (2001),Opel,Corsa,,C 1.2 (2001),1900,PETROL,6.1,10000,370,410,600
Toyota Yaris I D-4D (2002),Toyota,Yaris,,I D-4D (2002),2400,DIESEL,4.2,13000,390,420,900
Toyota Yaris III Hybrid (2013),Toyota,Yaris,,III Hybrid (2013),9800,HYBRID,3.7,13000,510,440,6200
Nissan Qashqai II 1.5 dCi (2014),Nissan,Qashqai,,II 1.5 dCi (2014),10500,DIESEL,4.0,16000,620,560,6500
BMW 114i F20 (2013),BMW,Série 1,F20,114i (2013),8500,PETROL,6.5,12000,650,500,4500
BMW 325i E36 (1992),BMW,Série 3,E36,325i (1992),7500,PETROL,9.0,9000,680,780,6000
BMW 320d E46 (2001),BMW,Série 3,E46,320d (2001),3900,DIESEL,5.7,16000,580,590,1700
BMW 320d F30 (2012),BMW,Série 3,F30,320d (2012),11900,DIESEL,4.5,18000,720,620,7800
Audi A4 B5 1.9 TDI (1996),Audi,A4,,B5 1.9 TDI (1996),1900,DIESEL,5.3,14000,450,480,500
Audi A3 8P 2.0 TDI (2004),Audi,A3,,8P 2.0 TDI (2004),3800,DIESEL,5.5,15000,560,540,1500
Audi A3 8V 1.6 TDI (2013),Audi,A3,,8V 1.6 TDI (2013),10900,DIESEL,3.8,16000,620,540,7200
Renault Zoe Q210 (2013),Renault,Zoe,,Q210 (2013),6500,ELECTRIC,14.6,11000,480,220,3000
Nissan Leaf I (2012),Nissan,Leaf,,I (2012),5800,ELECTRIC,15.0,12000,460,200,2400
BMW 116i F20 (2012),BMW,Série 1,F20,116i (2012),9800,PETROL,5.7,13000,600,480,5800
BMW 118i F20 (2013),BMW,Série 1,F20,118i (2013),11500,PETROL,5.9,14000,650,500,6900
BMW 116d F20 (2012),BMW,Série 1,F20,116d (2012),9200,DIESEL,4.1,15000,620,520,5500
BMW 118d F20 (2013),BMW,Série 1,F20,118d (2013),10800,DIESEL,4.4,16000,660,540,6500
BMW 120d F20 (2014),BMW,Série 1,F20,120d (2014),12900,DIESEL,4.6,18000,720,580,7800
